작품 장르,작품명,저자,감정 태그
시,님의 침묵,한용운,"슬픔, 의지, 역설, 희망, 사랑"
시,나룻배와 행인,한용운,"희생, 인내, 기다림, 자애, 헌신"
시,알 수 없어요,한용운,"신비, 경외, 호기심, 구도적, 자연"
시,이별은 미의 창조,한용운,"이별, 역설, 초월, 미학, 깨달음"
소설,날개,이상,"자아분열, 절망, 비상, 억압, 의지"
시,진달래꽃,김소월,"애이불비, 이별, 체념, 희생, 한(恨)"
시,옛 이야기,김소월,"외로움, 상실, 그리움, 슬픔, 회상"
시,못잊어,김소월,"그리움, 미련, 체념, 망각, 애절함"
시,개여울,김소월,"기약 없는 기다림, 허무, 그리움, 약속"
시,만나려는 심사(心思),김소월,"답답함, 절망, 그리움, 엇갈림"
시,부모,김소월,"가족애, 그리움, 회상, 세월, 근원"
시,나는 세상 모르고 살았노라,김소월,"후회, 비탄, 깨달음, 세상사, 고뇌"
시,예전에 미처 몰랐어요,김소월,"각성, 사무치는 그리움, 달관, 슬픔"
시,눈물이 수르르 흘러납니다,김소월,"순수한 슬픔, 이별, 눈물, 애상"
시,가는 길,김소월,"망설임, 아쉬움, 재촉, 유수, 그리움"
시,바다,김소월,"동경, 이상향, 막막함, 미지의 세계"
시,고적한 날,김소월,"고독, 눈물, 서러움, 편지, 순애"
시,님에게,김소월,"역설, 부정, 간절함, 잊을 수 없음"
시,흰 그림자,윤동주,"자아성찰, 고독, 순수, 내면의 분열, 그리움"
시,별 헤는 밤,윤동주,"향수, 부끄러움, 그리움, 희망, 서정적"
서사시,일리아드,호머,"비장미, 영웅심, 명예, 죽음, 결의"
소설,겐지모노가타리,무라사키 시키부,"무상감, 덧없음, 애수, 자연, 연정"
시,파우스트,요한 볼프강 폰 괴테,"자기신뢰, 계몽, 의지, 삶의 방향"
"소설, 로맨스",젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,"염세, 우울, 고뇌, 단조로움, 열정"
"소설, SF, 스릴러",프랑켄슈타인,메리 셸리,"후회, 연민, 공포, 창조의 비극, 소외"
"소설, 미스테리",고자질하는 심장,에드가 엘런 포,"광기, 죄책감, 공포, 편집증, 환청"
"소설, 모험, 판타지",돈키호테,미겔 데 세르반테스,"이상, 신념, 진실, 용기, 풍자"
"소설, SF",우주전쟁,허버트 조지 웰스,"공포, 무력감, 경이, 관찰, 생존"
"소설, SF",로숨의 유니버설 로봇(R.U.R.),카렐 차페크,"냉철함, 비인간성, 합리성, 경고, 소외"
"시소설, 성장",예프게니 오네긴,알렉산더 푸쉬킨,"회한, 상실, 허무, 젊음, 낭만"
"서사시, 스릴러",갈까마귀,에드가 엘런 포,"불길함, 상실, 고독, 신비, 절망"
"소설, 모더니즘",율리시스,제임스 조이스,"일상, 자아탐구, 실존, 반복, 의식의 흐름"
소설,더블린 사람들,제임스 조이스,"마비, 쇠락, 죽음, 깨달음, 쓸쓸함"
정치학,군주론,니콜로 마키아벨리,"냉혹, 현실주의, 실리, 권력, 비정함"
"소설, SF",개미,베르나르 베르베르,"행동, 삶의 의미, 도전, 실존, 의지"
"소설, 판타지",신,베르나르 베르베르,"위로, 격려, 최선, 자유, 초월"
"소설, 판타지, 스릴러",타나토노트,베르나르 베르베르,"겸손, 연대, 우주적 관점, 삶과 죽음"
"소설, 아포칼립스",문명,베르나르 베르베르,"비판, 성찰, 공존, 평화, 경고"
"소설, 아포칼립스",고양이,베르나르 베르베르,"지혜, 조화, 자연, 비폭력, 깨달음"
"소설, 아포칼립스",행성,베르나르 베르베르,"연결, 의식, 창조, 관찰, 신비"
"소설, 판타지",천사들의 제국,베르나르 베르베르,"영혼, 감정, 환생, 성장, 희망"
"소설, 성장물, 철학",데미안,헤르만 헤세,"투쟁, 성장, 자아실현, 세계의 파괴, 각성"
"소설, SF, 디스토피아",기억 전달자,로이스 로리,"지혜, 기억, 공유, 책임, 인류애"
"소설, 디스토피아",1984,조지 오웰,"세뇌, 굴복, 절망, 아이러니, 전체주의"
"소설, 디스토피아",동물농장,조지 오웰,"환멸, 풍자, 타락, 혼란, 권력"
"소설, 디스토피아",멋진 신세계,올더스 헉슬리,"조소, 역설, 기괴함, 통제, 문명 비판"
평전,아메리칸 프로메테우스,"카이 버드, 마틴 셔윈","죄책감, 경외, 파괴, 책임, 무거움"
"소설, 철학",변신,프란츠 카프카,"소외, 단절, 부조리, 고독, 정체성"
"소설, 모험, 생존",15소년 표류기,쥘 베른,"용기, 성장, 협동, 도전, 자연"
"소설, 모험, SF",해저 2만리,쥘 베른,"신비, 탐험, 경외, 한계, 호기심"
희곡,햄릿,윌리엄 셰익스피어,"고뇌, 복수, 도덕성, 삶과 죽음, 선택"
희곡,베니스의 상인,윌리엄 셰익스피어,"갈등, 욕망, 정의, 자비, 인간성"
고려가요,청산별곡,미상,"비애, 체념, 도피, 고독, 무상감"
소설,임진록,미상,"영웅심, 찬사, 호걸, 애국, 비범함"
시,영도를 그리며,굴원,"우국충정, 탄식, 무상감, 세월, 근심"
서사시,니벨룽겐의 노래,미상,"비극, 슬픔, 운명, 파국, 애상"
소설,아발론 연대,장 마르칼,"상대성, 관점, 구조, 중립, 사회"
"철학, 소설",차라투스트라는 이렇게 말했다,프리드리히 니체,"창조, 초인, 고독, 파괴, 열정"
철학,선악의 저편,프리드리히 니체,"경고, 심연, 통찰, 위험, 대결"
서사시,길가메시 서사시,미상,"운명, 향락, 현재, 수용, 인간적"
서사시,신곡 - 지옥편,단테 알리기에리,"절망, 심판, 영원, 공포, 정의"
"서사시, 창세 신화",에누마 엘리,미상,"혼돈, 창조, 태고, 신화, 기원"
소설,노인과 바다,어니스트 헤밍웨이,"불굴, 의지, 존엄, 투쟁, 승리"
소설,어린왕자,앙투안 드 생텍쥐페리,"관계, 책임, 순수, 사랑, 길들임"
소설,이방인,알베르 카뮈,"부조리, 무관심, 건조함, 실존, 소외"
소설,안나 카레니나,레프 톨스토이,"통찰, 행복, 불행, 가정, 비교"
소설,설국,가와바타 야스나리,"허무, 순수, 정적, 아름다움, 고독"
소설,위대한 개츠비,F. 스콧 피츠제럴드,"미련, 과거, 끈기, 낭만, 허망함"
"소설, 성장, 로맨스",오만과 편견,제인 오스틴,"풍자, 위트, 결혼, 현실, 사랑"
희곡,고도를 기다리며,사뮈엘 베케트,"부조리, 권태, 무의미, 기다림, 절망"
소설,죄와 벌,표도르 도스토옙스키,"깨달음, 구원, 행복, 심리, 성찰"
소설,호밀밭의 파수꾼,J.D. 샐린저,"순수, 보호, 동심, 소외, 꿈"
"소설, 판타지",이상한 나라의 앨리스,루이스 캐럴,"상상, 위로, 환상, 동심, 긍정"
"소설, 모더니즘",마의 산,토마스 만,"비밀, 성찰, 내면, 철학, 삶"
"소설, 판타지",해리 포터와 마법사의 돌,J.K. 롤링,"성장, 우정, 모험, 마법, 발견"
"소설, 판타지",반지의 제왕,J.R.R. 톨킨,"용기, 희생, 대서사, 선과 악, 운명"
"소설, 판타지",나니아 연대기,C.S. 루이스,"모험, 신념, 다른 세계, 선악, 동심"
소설,리어왕,윌리엄 셰익스피어,"비극, 배신, 어리석음, 고통, 파멸"
소설,메밀꽃 필 무렵,이효석,"서정, 낭만, 아름다움, 자연, 추억"
소설,소나기,황순원,"순수, 첫사랑, 아련함, 비극, 그리움"
소설,토지,박경리,"생명력, 역사, 한(恨), 비극, 웅장함"
소설,채식주의자,한강,"거부, 변신, 광기, 식물성, 소외"
소설,레 미제라블,빅토르 위고,"구원, 자비, 희망, 사랑, 인류애"
소설,모비 딕,허먼 멜빌,"집착, 광기, 심연, 투쟁, 파멸"
소설,폭풍의 언덕,에밀리 브론테,"격정, 일체감, 영혼, 사랑, 광기"
소설,페스트,알베르 카뮈,"연대, 긍정, 휴머니즘, 저항, 희망"
소설,백년의 고독,가브리엘 가르시아 마르케스,"고독, 운명, 순환, 단절, 허무"
소설,전쟁과 평화,레프 톨스토이,"인내, 시간, 지혜, 역사, 운명"
소설,위대한 유산,찰스 디킨스,"성장, 정화, 수용, 감동, 인생"
소설,주홍 글씨,너새니얼 호손,"진실, 비밀, 죄책감, 영혼, 성찰"
소설,카라마조프 가의 형제들,표도르 도스토옙스키,"고통, 지옥, 사랑, 철학, 구원"
소설,마담 보바리,귀스타브 플로베르,"환멸, 권태, 이상, 현실, 비극"
소설,잃어버린 시간을 찾아서,마르셀 프루스트,"발견, 관점, 내면, 기억, 예술"
희곡,인형의 집,헨릭 입센,"자각, 독립, 주체성, 인권, 선언"
희곡,오이디푸스 왕,소포클레스,"운명, 비극, 반전, 겸허, 파국"
시,가지 않은 길,로버트 프로스트,"선택, 인생, 성찰, 아쉬움, 운명"
시,황무지,T.S. 엘리엇,"잔인함, 황폐, 기억, 욕망, 현대성"
소설,인간 실격,다자이 오사무,"수치, 부끄러움, 소외, 절망, 고백"
소설,연금술사,파울로 코엘료,"소망, 우주, 긍정, 꿈, 운명"
수필,월든,헨리 데이비드 소로,"간소함, 자연, 내면, 성찰, 자유"
소설,싯다르타,헤르만 헤세,"지혜, 깨달음, 탐구, 경험, 자아"
소설,웃는 남자,빅토르 위고,"비참함, 연민, 사회비판, 눈물, 대조"
"소설, SF",타임머신,허버트 조지 웰스,"호기심, 과학, 모험, 역설, 이론"
소설,봄봄,김유정,"해학, 갈등, 순박함, 투쟁, 풍자"
시,청포도,이육사,"풍요, 전설, 고향, 기다림, 서정"
소설,난장이가 쏘아올린 작은 공,조세희,"소외, 비극, 불평등, 사랑, 현실"
소설,태백산맥,조정래,"분단, 격동, 아픔, 역사, 소용돌이"
소설,광장,최인훈,"자유, 이념, 갈등, 탈출, 고뇌"
시,귀천,천상병,"초월, 소풍, 아름다움, 귀환, 달관"
소설,삼국지연의,나관중,"대세, 순환, 흥망성쇠, 역사, 통찰"
소설,제인 에어,샬럿 브론테,"존엄, 평등, 자유, 의지, 사랑"
소설,마음,나쓰메 소세키,"고독, 대가, 현대인, 자의식, 우울"
소설,앵무새 죽이기,하퍼 리,"이해, 공감, 정의, 성장, 편견"
소설,분노의 포도,존 스테인벡,"분노, 굶주림, 저항, 현실, 비참함"
소설,허클베리 핀의 모험,마크 트웨인,"양심, 자유, 반항, 순수, 모험"
소설,어둠의 심연,조셉 콘래드,"공포, 광기, 본성, 제국주의, 어둠"
소설,자기만의 방,버지니아 울프,"독립, 현실, 여성, 창작, 필요"
소설,테스,토머스 하디,"가혹함, 운명, 비극, 순결, 무관심"
소설,두 도시 이야기,찰스 디킨스,"모순, 시대, 혁명, 대조, 통찰"
소설,몽테크리스토 백작,알렉상드르 뒤마,"기다림, 희망, 지혜, 복수, 인내"
소설,참을 수 없는 존재의 가벼움,밀란 쿤데라,"일회성, 허무, 가벼움, 인생, 실존"
소설,닥터 지바고,보리스 파스테르나크,"생명력, 사랑, 강인함, 극복, 예술"
소설,가정과 세계,라빈드라나드 타고르,"정의, 인류애, 신념, 비판, 숭배"
소설,원정,라빈드라나드 타고르,"죽음, 비밀, 고독, 방랑, 성찰"
소설,인간의 굴레에서,서머싯 몸,"무의미, 자유, 허무, 해방, 인생"
철학,국가,플라톤,"정의, 본분, 질서, 이상국가, 철학"
수필,수상록,미셸 드 몽테뉴,"회의, 성찰, 지식, 겸손, 탐구"
시,풀,김수영,"생명력, 끈기, 민중, 저항, 유연함"
소설,외투,니콜라이 고골,"연민, 풍자, 소시민, 비극, 영향"
소설,벚꽃 동산,안톤 체호프,"상실, 변화, 과거, 미래, 애수"
소설,곤충 극장,카렐 차페크,"풍자, 권력, 승리, 맹목, 우화"
소설,서부 전선 이상 없다,에리히 마리아 레마르크,"허무, 죽음, 반전(反戰), 상실, 고요"
소설,낙원의 이쪽,프랜시스 스콧 피츠제럴드,"개성, 자아, 청춘, 차별성, 인정"
소설,나의 라임오렌지나무,J. M. 바스콘셀로스,"상실, 성장, 사랑, 슬픔, 이별"
소설,적과 흑,스탕달,"야심, 열정, 비극, 신분상승, 위선"
소설,연인,마르그리트 뒤라스,"강렬함, 첫사랑, 아름다움, 회상, 관능"
소설,고리오 영감,오노레 드 발자크,"부성애, 희생, 비정함, 욕망, 비극"
소설,야간 비행,생텍쥐페리,"의무, 책임, 승리, 숭고함, 희생"
소설,아큐정전,루쉰,"풍자, 정신승리, 비판, 우매함, 패배"
소설,금각사,미시마 유키오,"탐미, 파괴, 광기, 집착, 아름다움"
소설,라쇼몽,아쿠타가와 류노스케,"이기심, 생존, 적나라함, 본성, 변모"
소설,나르치스와 골드문트,헤르만 헤세,"이성, 감성, 방황, 예술, 대립"
소설,탁류,채만식,"혼탁, 욕망, 타락, 비극, 식민지"
소설,삼포 가는 길,황석영,"방랑, 연대, 상실, 고향, 애환"
소설,우리들의 일그러진 영웅,이문열,"권력, 굴종, 비겁, 풍자, 알레고리"
소설,태평천하,채만식,"위선, 풍자, 이기심, 반어, 사회비판"
소설,백치,표도르 도스토옙스키,"순수, 구원, 아름다움, 충돌, 연민"
소설,아버지와 아들,이반 투르게네프,"갈등, 허무주의, 세대차이, 이념, 변화"
소설,여자의 일생,기 드 모파상,"평범, 환멸, 인생, 수용, 현실"
소설,상실의 시대,무라카미 하루키,"상실, 고독, 성장, 슬픔, 치유불가"
희곡,한여름 밤의 꿈,윌리엄 셰익스피어,"낭만, 환상, 사랑, 마음, 희극"
희곡,맥베스,윌리엄 셰익스피어,"허무, 야망, 그림자, 파멸, 인생"
소설,화씨 451,레이 브래드버리,"검열, 저항, 영혼, 상실, 문명"
소설,시계태엽 오렌지,앤서니 버제스,"자유의지, 폭력, 교화, 정체성, 딜레마"
소설,바람과 함께 사라지다,마거릿 미첼,"희망, 재기, 강인함, 생존, 의지"
소설,소설가 구보씨의 일일,박태원,"고독, 산책, 내면, 무기력, 관찰"
소설,표본실의 청개구리,염상섭,"우울, 병적, 허무, 자의식, 암울"
소설,홍길동전,허균,"저항, 정의, 평등, 영웅, 이상향"
소설,구운몽,김만중,"무상감, 일장춘몽, 깨달음, 부귀영화, 허무"
소설,별,알퐁스 도데,"순수, 낭만, 동경, 밤하늘, 짝사랑"
소설,마지막 수업,알퐁스 도데,"애국심, 상실, 슬픔, 소중함, 민족혼"
소설,큰 바위 얼굴,너새니얼 호손,"겸손, 내면, 위대함, 성찰, 이상"
소설,나나,에밀 졸라,"타락, 파멸, 위선, 욕망, 사회악"
소설,보물섬,R. L. 스티븐슨,"모험, 탐욕, 비밀, 미스터리, 긴장"
소설,피그말리온,조지 버나드 쇼,"변화, 교육, 자아, 신분, 재창조"
소설,무기여 잘 있거라,어니스트 헤밍웨이,"허무, 파괴, 비극, 전쟁, 사랑"
소설,심판,프란츠 카프카,"불안, 부조리, 죄의식, 공포, 단절"
소설,무진기행,김승옥,"허무, 안개, 일탈, 모호함, 환멸"
소설,만다라,김성동,"번뇌, 구도, 방황, 깨달음, 고행"
소설,수난이대,하근찬,"극복, 화해, 가족애, 비극, 치유"
소설,유예,오상원,"긴장, 실존, 죽음, 대기, 심리"
소설,광염 소나타,김동인,"광기, 예술, 파멸, 탐미, 범죄"
소설,눈먼 자들의 도시,주제 사라마구,"본성, 공포, 절망, 혼돈, 생존"
소설,바르도 퇴돌,파드마삼바바,"해탈, 죽음, 영성, 안내, 사후세계"
소설,벨아미,기 드 모파상,"야망, 출세, 타락, 냉혈, 유혹"
소설,분신,표도르 도스토옙스키,"분열, 공포, 자의식, 광기, 붕괴"
소설,메디아,에우리피데스,"복수, 증오, 비극, 정념, 파괴"
소설,안티고네,소포클레스,"신념, 저항, 양심, 비극, 숭고함"
철학,도덕경,노자,"무위자연, 겸손, 순리, 지혜, 물"
철학,장자,장자,"자유, 초월, 물아일체, 호접몽, 도(道)"
소설,역마,김동리,"운명, 순응, 유랑, 역마살, 토속적"
소설,오발탄,이범선,"절망, 방향상실, 빈곤, 고뇌, 비극"
소설,당신들의 천국,이청준,"자유, 권력, 이상, 불신, 공동체"
소설,장마,윤흥길,"화해, 무속, 가족애, 이념, 상처"
소설,별들의 고향,최인호,"소외, 소비, 비극, 도시, 상처"
소설,살인자의 기억법,김영하,"망각, 공포, 아이러니, 사투, 소멸"
소설,장미의 이름,움베르토 에코,"지적, 추리, 신비, 종교, 진실"
소설,향수,파트리크 쥐스킨트,"집착, 광기, 예술, 고립, 후각"
소설,자기 앞의 생,에밀 아자르,"사랑, 연민, 생존, 소외, 따뜻함"
소설,거장과 마르가리타,미하일 불가코프,"풍자, 환상, 구원, 부조리, 해학"
소설,나를 보내지 마,가즈오 이시구로,"슬픔, 운명, 인간성, 사랑, 체념"
소설,나의 눈부신 친구,엘레나 페란테,"우정, 질투, 성장, 애증, 삶"
소설,실낙원,존 밀턴,"타락, 원죄, 서사, 상실, 유혹"
소설,천로역정,존 번연,"신앙, 고난, 순례, 인내, 교훈"
소설,캉디드,볼테르,"낙관, 비판, 풍자, 모험, 현실"
소설,에밀,장 자크 루소,"교육, 자연, 성장, 순수, 철학"
소설,도리언 그레이의 초상,오스카 와일드,"탐미, 타락, 젊음, 쾌락, 파멸"
소설,순수의 시대,이디스 워튼,"관습, 억압, 갈등, 체념, 사랑"
소설,말테의 수기,라이너 마리아 릴케,"불안, 고독, 내면, 죽음, 성찰"
소설,인간의 조건,앙드레 말로,"행동, 존엄, 혁명, 연대, 투쟁"
소설,열하일기,박지원,"호기심, 실용, 비판, 여행, 문명"
소설,금오신화,김시습,"기이함, 사랑, 환상, 비극, 초현실"
소설,홍루몽,조설근,"허무, 번영, 몰락, 사랑, 인생"
소설,수호지,시내암,"의리, 저항, 호걸, 투쟁, 정의"
소설,서유기,오승은,"모험, 도술, 깨달음, 환상, 여정"
소설,금병매,소소생,"욕망, 세속, 타락, 풍자, 현실"
소설,사기,사마천,"역사, 인간상, 명분, 기록, 통찰"
소설,침묵,엔도 슈사쿠,"고뇌, 신앙, 배교, 침묵, 고통"
소설,나목,박완서,"예술, 열정, 황폐, 결핍, 치유"
소설,혼불,최명희,"한(恨), 전통, 영혼, 민족, 유려함"
소설,객주,김주영,"생명력, 유랑, 상업, 민중, 활기"
소설,로드,코맥 매카시,"절망, 부성애, 생존, 황폐, 희망"
소설,연을 쫓는 아이,할레드 호세이니,"속죄, 우정, 배신, 죄책감, 구원"
소설,시녀 이야기,마거릿 애트우드,"공포, 억압, 통제, 저항, 디스토피아"
소설,창문 넘어 도망친 100세 노인,요나스 요나손,"유쾌, 모험, 풍자, 소동, 낙관"
소설,오베라는 남자,프레드릭 배크만,"치유, 이웃, 변화, 감동, 고집"
소설,단순한 열정,아니 에르노,"집착, 열망, 심리, 기다림, 솔직함"
소설,속죄,이언 매큐언,"오해, 죄책감, 비극, 참회, 서술"
소설,책 읽어주는 남자,베른하르트 슐링크,"비밀, 수치, 사랑, 도덕, 갈등"
소설,생의 한가운데,루이제 린저,"주체성, 의지, 열정, 삶, 실존"
소설,데카메론,조반니 보카치오,"해학, 욕망, 풍자, 인간미, 이야기"
소설,컬러 퍼플,앨리스 워커,"성장, 연대, 자아, 극복, 자유"
소설,전쟁의 슬픔,바오 닌,"트라우마, 회상, 비극, 상실, 고통"
소설,보이지 않는 도시들,이탈로 칼비노,"상상, 기억, 욕망, 기호, 환상"
철학,에티카,스피노자,"이성, 자유, 행복, 필연, 기하학"
철학,팡세,파스칼,"사색, 신앙, 모순, 위대함, 비참함"
철학,방법서설,데카르트,"이성, 회의, 진리, 존재, 탐구"
