작품 장르,작품명,저자,작품 내용,작성자
시,님의 침묵,한용운,"님은 갔습니다. 아아, 사랑하는 나의 님은 갔습니다.
푸른 산빛을 깨치고 단풍나무 숲을 향하여 난 작은 길을 걸어서, 차마 떨치고 갔습니다.
황금의 꽃같이 굳고 빛나던 옛 맹세는 차디찬 티끌이 되어서 한숨의 미풍에 날아갔습니다.
날카로운 첫 키스의 추억은 나의 운명의 지침을 돌려놓고 뒷걸음쳐서 사라졌습니다.
나는 향기로운 님의 말소리에 귀먹고, 꽃다운 님의 얼굴에 눈멀었습니다.
사랑도 사람의 일이라 만날 때에 미리 떠날 것을 염려하고 경계하지 아니한 것은 아니지만,
이별은 뜻밖의 일이 되고 놀 가슴은 새로운 슬픔에 터집니다.
그러나 이별을 쓸데없는 눈물의 원천을 만들고 마는 것은 스스로 사랑을 깨치는 것인 줄 아는 까닭에,
걷잡을 수 없는 슬픔의 힘을 옮겨서 새 희망의 정수박이에 들어부었습니다.
우리는 만날 때에 떠날 것을 염려하는 것과 같이 떠날 때에 다시 만날 것을 믿습니다.
아아, 님은 갔지마는 나는 님을 보내지 아니하였습니다.
제 곡조를 못 이기는 사랑의 노래는 님의 침묵을 휩싸고 돕니다.",신송희
시,나룻배와 행인,한용운,"나는 나룻배
당신은 행인.

당신은 흙발로 나를 짓밟습니다.
나는 당신을 안고 물을 건너갑니다.
나는 당신을 안으면 깊으나 얕으나 급한 여울이나 건너갑니다.

만일 당신이 아니 오시면 나는 바람을 쐬고 눈비를 맞으며, 밤에서 낮까지 당신을 기다리고 있습니다.
당신은 물만 건너면 나를 돌아보지도 않고 가십니다그려.
그러나 당신이 언제든지 오실 줄만은 알아요.
나는 당신을 기다리면서 날마다 날마다 낡아갑니다.

나는 나룻배
당신은 행인.",신송희
시,알 수 없어요,한용운,"바람도 없는 공중에 수직(垂直)의 파문을 내이며
고요히 떨어지는 오동잎은 누구의 발자취입니까.
지리한 장마 끝에 서풍에 몰려가는 무서운 검은 구름의 터진 틈으로
언뜻언뜻 보이는 푸른 하늘은 누구의 얼굴입니까.

꽃도 없는 깊은 나무에 푸른 이끼를 거쳐서 옛 탑(塔) 위의
고요한 하늘을 스치는 알 수 없는 향기는 누구의 입김입니까.
근원은 알지도 못할 곳에서 나서 돌뿌리를 울리고
가늘게 흐르는 작은 시내는 구비구비 누구의 노래입니까.

연꽃 같은 발꿈치로 가이 없는 바다를 밟고 옥 같은 손으로
끝없는 하늘을 만지면서 떨어지는 해를 곱게 단장하는 저녁놀은 누구의 시(詩)입니까.

타고 남은 재가 다시 기름이 됩니다.
그칠 줄을 모르고 타는 나의 가슴은 누구의 밤을 지키는 약한 등불입니까",신송희
시,이별은 미의 창조,한용운,"이별은 미(美)의 창조입니다.

이별의 미는 아침의 바탕[質] 없는 황금과 밤의 올[絲] 없는 검은 비단과 죽음 없는 영원의 생명과 시들지 않는 하늘의 푸른 꽃에도 없습니다.

님이여, 이별이 아니면 나는 눈물에서 죽었다가 웃음에서 다시 살아날 수가 없습니다. 오오, 이별이여.

미는 이별의 창조입니다.",신송희
소설,날개,이상,"날개야 다시 돋아라.
날자. 날자. 날자. 한 번만 더 날자꾸나.
한 번만 더 날아 보자꾸나.",신송희
시,진달래꽃,김소월,"나 보기가 역겨워
가실 때에는
말없이 고이 보내 드리우리다

영변에 약산
진달래꽃
아름 따다 가실 길에 뿌리우리다

가시는 걸음걸음
놓인 그 꽃을
사뿐히 즈려밟고 가시옵소서

나 보기가 역겨워
가실 때에는
죽어도 아니 눈물 흘리우리다",신송희
시,옛 이야기,김소월,"고요하고 어두운 밤이 오면은 
어스러한 등(燈)불에 밤이 오면은 
외로움에 아픔에 다만 혼자서 
하염없는 눈물에 저는 웁니다 

제 한 몸도 예전엔 눈물 모르고 
조그만한 세상(世上)을 보냈습니다 
그때는 지난날의 옛이야기도 
아무 설움 모르고 외웠습니다 

​그런데 우리 님이 가신 뒤에는 
아주 저를 버리고 가신 뒤에는 
전(前)날에 제게 있던 모든 것들이 
가지가지 없어지고 말았습니다 

그러나 그 한때에 외워 두었던 
옛이야기뿐만은 남았습니다 
나날이 짙어가는 옛이야기는 
부질없이 제 몸을 울려 줍니다 ",신송희
시,못잊어,김소월 ,"못 잊어 생각이 나겠지오. 
그런 대로 한 세상 지내시구료 
사노라면 잊힐 날 있으리다 

못 잊어 생각이 나겠지오 
그런 대로 세월만 가라시구려 
못잊어도 더러는 잊히오리다 

그러나 또 한껏 이렇지요 
그리워 살뜰히 못잊는데  
어쩌면 생각이 떠지나요?",신송희
시,개여울 ,김소월,"당신은 무슨 일로 
그리합니까? 
홀로이 개여울에 주저앉아서 

​파릇한 풀 포기가 
돋아 나오고 
잔물은 봄바람에 해적일 때에 

​가도 아주 가지는 
않노라시던 
그러한 약속이 있었겠지요 

​날마다 개여울에 
나와 앉아서 
하염없이 무엇을 생각합니다 
​
가도 아주 가지는 
않노라심은 
굳이 잊지 말라는 부탁인지요 ",신송희
시,만나려는 심사(心思),김소월 ,"저녁해는 지고서 어스름의 길, 
저 먼 산(山)엔 어두워 잃어진 구름, 
만나려는 심사는 웬 셈일까요, 
그 사람이야 올 길 바이없는데, 
발길은 누 마중을 가잔 말이냐. 
하늘엔 달 오르며 우는 기러기. ",신송희
시,부모,김소월 ,"낙엽(落葉)이 우수수 떠러질 때, 
겨울의 기나긴 밤, 
어머님하고 둘이 앉아 
옛이야기 들어라. 

​나는 어쩌면 생겨나와 
이 이야기 듣는가? 
묻지도 말아라, 내일(來日)날에 
내가 부모(父母) 되어서 알아보랴? ",신송희
시,나는 세상 모르고 살았노라,김소월 ,"가고 오지 못한다' 하는 말을 
철없던 내 귀로 들었노라. 
만수산(萬壽山)을 올라서서 
옛날에 갈라선 그 내님도 
오늘날 뵈올 수 있었으면 

​나는 세상 모르고 살았노라, 
고락에 겨운 입술로는 
같은 말도 조금 더 영리하게 
말하게도 지금은 되었건만. 
오히려 세상 모르고 살았으면! 

​'돌아서면 무심타'고 하는 말이 
그 무슨 뜻인 줄을 알았으랴. 
제석산 붙는 불은 옛날에 갈라선 그 내님의 
무덤엣 풀이라도 태웠으면! ",신송희
시,예전에 미처 몰랐어요,김소월 ,"봄가을 없이 밤마다 돋는 달도 
예전엔 미처 몰랐어요. 

​이렇게 사무치게 그리울 줄도 
예전엔 미처 몰랐어요. 

​달이 암만 밟아도 쳐다볼 줄을 
예전엔 미처 몰랐어요. 

​이제금 저 달이 설움인 줄은 
예전엔 미처 몰랐어요. ",신송희
시,눈물이 수르르 흘러납니다,김소월 ,"눈물이 수르르 흘러납니다  
당신이 하도 못잊게 그리워서  
그리 눈물이 수르르 흘러납니다.  

​잊히지도 않는 그사람은  
아주나 내버린 것이 아닌데도  
눈물이 수르르 흘러납니다  

​가뜩이나 설운맘이  
떠나지 못할 운에 떠난것 같아서  
생각하면 눈물이 수르르 흘러납니다 ",신송희
시,가는 길,김소월,"그립다  
말을 할까 
하니 그리워. 

​그냥 갈까 
그래도 
다시 한번... 
​
저 산에도 까마귀, 들에 까마귀 
서산에는 해 진다고 
지저귑니다. 
​
앞 강물 뒷 강물 
흐르는 물은 
어서 따라 오라고 따라 가자고 
흘러도 연달아 흐릅디다려.",신송희
시,바다,김소월,"뛰노는 흰 물결이 일고 또 잦는 
붉은 풀이 자라는 바다는 어디 
​
고기잡이꾼들이 배 위에 앉아 
사랑 노래 부르는 바다는 어디 
​
파랗게 좋이 물든 남(藍)빛 하늘에 
저녁놀 스러지는 바다는 어디 
​
곳 없이 떠다니는 늙은 물새가 
떼를 지어 좇니는 바다는 어디 
​
건너서서 저편(便)은 딴 나라이라 
가고 싶은 그리운 바다는 어디",신송희
시,고적한 날,김소월,"당신님의 편지를 
받은 그 날로 
서러운 풍설이 돌았습니다 
물에 던져달라고 하신 그 뜻은 
언제나 꿈꾸며 생각하라는 
그 말씀인 줄 압니다 
흘려 쓰신 글씨나마 
언문 글자로 
눈물이라고 적어 보내셨지요. 
물에 던져달라고 하신 그 뜻은 
뜨거운 눈물 방울방울 흘리며, 
마음 곱게 읽어달라는 말씀이지요. ",신송희
시,님에게,김소월,"한때는 많은 날을 당신 생각에 
밤까지 새운 일도 없지 않지만 
아직도 때마다는 당신 생각에 
축업은 베갯가의 꿈은 있지만 
낯모를 딴 세상의 네길거리에 
애달피 날 저무는 갓 스물이요 
캄캄한 어두운 밤들에 헤메도 
당신은 잊어버린 설움이외다 
당신을 생각하면 지금이라도 
비 오는 모래밭에 오는 눈물의 
축업은 베갯가의 꿈은 있지만 
당신은 잊어버린 설움이외다 ",신송희
